ticker,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_41,alpha_52,alpha_53,alpha_54,price_change
SRE,2.9757709251101323,0.04165355712156825,0.07152195090576927,-4.867219917012448,-12503.391666666666,0.06629596719541817,-1.0748366674259073,-0.25499725341796875,-0.6596240918895931,-0.5011156906420374,0.4700953170775325
PEG,2.9273127753303965,-0.09453629928046299,-0.04263713119855049,-4.8796680497925315,-12753.995833333332,0.003137347348175279,-3.235041555103761,1.5299949645996094,-5.083195936853753,-0.5117867082872942,0.9172890008756972
FIS,3.061946902654867,-0.014858798595366653,0.1663094953708058,-4.771784232365145,-11230.641666666666,0.14263564240292678,-9.673538188910642,0.1500091552734375,-12.512607042710261,-0.4886903959997058,3.6021233683868377
AON,2.9646017699115044,0.06541137917156654,0.06554783026708454,-5.186721991701245,-13060.279166666667,0.058108369256020295,3.2815227328676895,-12.989959716796875,-4.874227210080725,-0.5086062451173768,3.7255766386541476
EBAY,2.909691629955947,0.027628575625979316,0.1278922343481711,-4.6887966804979255,-11993.333333333334,0.1100225497632159,-1.920263130334345,1.7999954223632812,-7.612277851899608,-0.49195120961390293,1.4746529196935938
CME,2.814159292035398,-0.08917430335509857,0.23929733700187925,-4.796680497925311,-12158.575,0.24837709179535275,-11.447404051924881,-14.519989013671875,0.06003075167639714,-0.4641116434456362,-0.7056140767827247
MCO,2.9070796460176993,0.02863862931527179,0.023829044463011092,-4.858921161825726,-12366.504166666668,0.053627298092202645,-4.43441054442817,15.21002197265625,-0.480768359581516,-0.4969883711684721,3.2706428973759487
BMY,3.0682819383259914,-0.026164050144944224,0.07627539715475319,-4.821576763485477,-12397.391666666666,0.07204620963104072,-1.5551982793250347,-1.0800018310546875,-12.211033201616107,-0.4811964346637118,-0.07113748325506365
SYY,2.911504424778761,0.15371952902787556,0.12670888531589158,-4.730290456431535,-12815.204166666666,0.11723810429114233,-2.395950462251442,-4.200004577636719,2.8300437891248986,-0.5086406987455989,-3.7833000592502852
WBA,2.7334801762114536,0.006213694199533993,0.14622491506408372,-4.473029045643154,-12551.883333333333,0.12823673913241962,-2.3756257569845594,-4.439998626708984,-0.15339097517154354,-0.4843779319700426,-1.4404339751958017
DXCM,2.8893805309734515,0.02937373103600215,0.036592011829394165,-4.858921161825726,-12115.4,0.04617318136178555,7.471102690628895,5.459999084472656,-1.3733183622046337,-0.48397737901636895,5.687373673957926
WELL,2.9867256637168142,0.06971906987559406,0.05344633833464212,-4.556016597510373,-12594.745833333332,0.056261940089663814,-6.776361536519837,0.20999908447265625,-0.7488871905910031,-0.4916239598581937,3.6116413958250804
ORLY,3.0726872246696035,0.09483636537816836,0.2569606475133726,-5.423236514522822,-12104.275,0.2296562999636512,66.85719686520551,-95.10003662109375,0.2647462658909616,-0.5027755353256127,4.61856658926775
LHX,2.9405286343612334,0.10233589101816305,0.1722314047385103,-4.531120331950207,-12463.991666666667,0.17722675199603996,-10.780170495323736,-6.2400054931640625,1.4768691716885636,-0.47494282153908224,2.6151949719678536
LIN,3.185840707964602,-0.034773152076917904,0.2705946010852864,-5.348547717842323,-12135.979166666666,0.2577685353012835,7.473694845198019,-14.93994140625,-1.285781011002851,-0.5216740192805532,1.7598163770521018
D,2.8347826086956522,0.18108992860749792,0.04693539005363856,-4.6929460580912865,-11754.816666666668,0.02930011334769654,-7.224174939451452,-0.14999771118164062,-2.492961299136145,-0.49576559081416566,-1.0351940710810534
FTV,3.066371681415929,0.0689264708809196,0.056640153750889946,-5.381742738589212,-12586.954166666666,0.04692816807655369,2.759158607342175,10.245014190673828,-0.6967356876688926,-0.5150542804195848,3.3856522539059553
ROST,3.0633187772925763,0.018674478461960686,0.1291868393467287,-4.734439834024896,-12372.3625,0.12950953028876702,7.767995501617328,-8.879997253417969,-7.750089758549501,-0.48804946500621954,-2.766313733239335
SCHW,2.8628318584070795,0.07235134091289117,0.13602552272254298,-4.643153526970955,-12565.925,0.15614112907140767,1.389562471052683,7.199993133544922,-0.07893904350129,-0.4930511813454265,4.408350203952062
CMS,2.89647577092511,0.10735799580698874,0.05772762402847954,-5.070539419087137,-12878.0,0.04727675250178811,-2.871194985559231,0.17999267578125,-4.1680754118360195,-0.4969116855264841,-2.3083136199592347
A,2.8672566371681416,0.03961878280636311,0.017254278321091786,-5.157676348547718,-13148.225,-0.004268645586571651,8.08146563343943,-6.3900146484375,-4.489183575841702,-0.5100064808024558,0.7100389053781536
KEYS,3.0353982300884956,0.022142443267185497,0.06580258364401037,-5.531120331950207,-12634.8375,0.06958659734207678,10.062018851857776,16.889968872070312,-23.053653440969423,-0.5086411376032746,-4.535924797368597
DG,2.927947598253275,-0.004821280771912808,0.20258532109929994,-4.800829875518672,-13312.4625,0.20038673646772234,0.7342717500268192,-7.4700164794921875,-3.02677090339267,-0.5017627651534655,-0.23066987113446874
QRVO,2.9424778761061945,0.031298793055025434,0.08629933743195183,-4.871369294605809,-12791.841666666667,0.11120944999493912,-4.249410732634262,15.869979858398438,-3.6635272759317887,-0.46939158356944954,-1.754199813528616
RMD,3.101769911504425,0.0016424436893340906,0.052443173667097574,-5.037344398340249,-12201.125,0.0392062068349823,2.2079193287546772,-10.1099853515625,-0.5796926201451568,-0.4965245741525608,0.3376249221485095
LUV,2.893805309734513,0.11477728832051394,0.10060558517244973,-4.788381742738589,-13020.891666666666,0.08121671152736283,-3.2180287704388495,2.9099979400634766,0.4398965616487609,-0.4964919340264138,-0.3419235371933597
TT,2.9734513274336285,0.007263044910333176,0.06318575692691371,-5.273858921161826,-13239.191666666668,0.09563909052082958,13.0050073468845,42.269989013671875,-5.8133859897305795,-0.5107968134237989,2.9224385452235055
BK,3.017699115044248,-0.04225071625240877,0.1951153050049726,-5.390041493775934,-12028.033333333333,0.19025815480222177,0.6320333249359689,2.039989471435547,5.830822191768856,-0.49345524006787694,-0.7517138094825632
